pub_date	title	venue	excerpt	citation	url_slug	paper_url	doi
15/04/2020	Multi-Partitions Subspace Clustering	Mathemtics		"Vincent Vandewalle (2020). ""Multi-Partitions Subspace Clustering"". In : <i>Mathematics</i> 8.4, p. 597"	paper-title-number-1		https://doi.org/10.3390/math8040597
11/07/2020	Gaussian-Based Visualization of Gaussian and Non-Gaussian-Based Clustering	Journal of Classification		"Christophe Biernacki, Matthieu Marbac et Vincent Vandewalle (2020). ""Gaussian- Based Visualization of Gaussian and Non-Gaussian-Based Clustering"". In : <i>Journal of Classification</i>."	paper-title-number-2		https://doi.org/10.1007/s00357-020-09369-y
18/09/2020	Estimating the number of usability problems affecting medical devices : modelling the discovery matrix	BMC Medical Research Methodology		"Vincent Vandewalle, Alexandre Caron, Coralie Delettrez, Renaud Périchon, Sylvia Pelayo, Alain Duhamel et Benoit Dervaux (2020). ""Estimating the number of usability problems affecting medical devices : modelling the discovery matrix"". In : <i>BMC Medical Research Methodology</i> 20.234"	paper-title-number-3		https://doi.org/10.1186/s12874-020-01091-y
19/10/2020	From industry-wide parameters to aircraft-centric on-flight inference : Improving aeronautics performance prediction with machine learning	Data-Centric Engineering		"Florent Dewez, Benjamin Guedj et Vincent Vandewalle (2020). ""From industry-wide parameters to aircraft-centric on-flight inference : Improving aeronautics performance prediction with machine learning "". In : <i>Data-Centric Engineering</i> 1, e11."	paper-title-number-4		https://doi.org/10.1017/dce.2020.12
16/12/2019	Circulating proteomic signature of early death in heart failure patients with reduced ejection fraction	Scientific Reports		"Marie Cuvelliez, Vincent Vandewalle, Maxime Brunin, Olivia Beseme, Audrey Hulot, Pascal de Groote, Philippe Amouyel, Christophe Bauters, Guillemette Marot et Florence Pinet (2019). ""Circulating proteomic signature of early death in heart failure patients with reduced ejection fraction"". In : <i>Scientific reports</i> 9.1, p. 1-12"	paper-title-number-5		https://doi.org/10.1038/s41598-019-55727-1
01/04/2019	A tractable multi-partitions clustering	Computational Statistics & Data Analysis		"Matthieu Marbac et Vincent Vandewalle (2019). ""A tractable multi-partitions clus- tering"". In : <i>Computational Statistics & Data Analysis</i> 132, p. 167-179"	paper-title-number-6		https://doi.org/10.1016/j.csda.2018.06.013
01/04/2018	ClinMine : Optimizing the management of patients in hospital	IRBM		"Clarisse Dhaenens, Julie Jacques, Vincent Vandewalle, Maxence Vandromme, Emmanuel Chazard, Cristian Preda, Alexandru Amarioarei, Porpimol Chaiwuttisak, Cristina Cozma, Grégoire Ficheur et al. (2018). ""ClinMine : Optimizing the management of patients in hospital"". In : <i>IRBM</i> 39.2, p. 83-92"	paper-title-number-7		https://doi.org/10.1016/j.irbm.2017.12.002
24/08/2017	Model-based clustering of Gaussian copulas for mixed data 	Communications in Statistics - Theory and Methods		"Matthieu Marbac, Christophe Biernacki et Vincent Vandewalle (2017). ""Model- based clustering of Gaussian copulas for mixed data"". In : <i>Communications in Statistics - Theory and Methods</i> 46.23, p. 11635-11656"	paper-title-number-8		https://doi.org/10.1080/03610926.2016.1277753
13/05/2016	Latent class model with conditional dependency per modes to cluster categorical data 	Advances in Data Analysis and Classification		"Matthieu Marbac, Christophe Biernacki et Vincent Vandewalle (2016). ""Latent class model with conditional dependency per modes to cluster categorical data"". In : <i>Advances in Data Analysis and Classification</i> 10.2, p. 183-207"	paper-title-number-9		https://doi.org/10.1007/s11634-016-0250-1
09/07/2015	Model-based clustering for conditionally correlated categorical data	Journal of Classification		"Matthieu Marbac, Christophe Biernacki et Vincent Vandewalle (2015b). ""Model- based clustering for conditionally correlated categorical data"". In : <i>Journal of Classification</i> 32.2, p. 145-175"	paper-title-number-10		https://doi.org/10.1007/s00357-015-9180-4
05/05/2014	Mixture of Gaussians for distance estimation with missing data	Neurocomputing		"Emil Eirola,Amaury Lendasse,Vincent Vandewalle et Christophe Biernacki(2014). ""Mixture of Gaussians for distance estimation with missing data"". In : <i>Neurocomputing</i> 131, p. 32-42"	paper-title-number-11		https://doi.org/10.1016/j.neucom.2013.07.050
	Les modèles de mélange, un outil utile pour la classifi- cation semi-supervisée	Monde des Util. Anal. Données		"Vincent Vandewalle (2009). ""Les modèles de mélange, un outil utile pour la classification semi-supervisée."" In : <i>Monde des Util. Anal. Données</i> 40, p. 121-145"	paper-title-number-12		
	A predictive deviance criterion for selecting a generative model in semi-supervised clas- sification	Computational Statistics & Data Analysis		"Vincent Vandewalle, Christophe Biernacki, Gilles Celeux et Gérard Govaert (2013). ""A predictive deviance criterion for selecting a generative model in semi-supervised clas- sification"". In : <i>Computational Statistics & Data Analysis</i> 64, p. 220-236"	paper-title-number-13		
	Statistical tests to compare motif count exceptionalities	BMC bioinformatics		"Stephane Robin, Sophie Schbath et Vincent Vandewalle (2007). ""Statistical tests to compare motif count exceptionalities"". In : <i>BMC bioinformatics</i> 8.1, p. 84"	paper-title-number-14		
	Clustering spatial functional data	Geostatistical Functional Data Analysis : Theory and Methods		"Vincent Vandewalle, Cristian Preda et Sophie Dabo (2020). ""Clustering spatial functional data"". In : <i>Geostatistical Functional Data Analysis : Theory and Methods</i>. Sous la dir. de J. Mateu et R. Giraldo. ISBN : 978-1-119-38784-8. Chichester, UK : John Wiley et Sons"	paper-title-number-15		
